assessment_score_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,assignment_dim_id,school_year,school_year_offset,sis_user_id,course_id,section_id,teacher_id,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,is_populated,is_present,is_nonparticipation_zero
2055,365,3,81,17,7,2028-2029,3,SYN-SIS-000365,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,53.7301,50.9658,-2.7643,true,false,true
2056,365,3,81,17,8,2028-2029,3,SYN-SIS-000365,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,53.92,53.92,54.86,53.6227,0.9,school_year_growth,50.9658,54.8573,3.8915,true,true,false
2057,366,3,82,17,7,2028-2029,3,SYN-SIS-000366,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,27.9,27.9,29.61,28.7639,-3.67,summer_atrophy,31.7734,29.6106,-2.1628,true,true,false
2058,366,3,82,17,8,2028-2029,3,SYN-SIS-000366,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,33.1,33.1,33.52,32.8469,5.2,school_year_growth,29.6106,33.5161,3.9055,true,true,false
2059,367,3,81,17,7,2028-2029,3,SYN-SIS-000367,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,22.75,22.75,23.82,23.4363,-1.03,summer_atrophy,26.6416,23.8199,-2.8217,true,true,false
2060,367,3,81,17,8,2028-2029,3,SYN-SIS-000367,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,38.27,38.27,30.62,36.5119,15.52,school_year_growth,23.8199,30.6215,6.8016,true,true,false
2061,368,5,89,19,7,2028-2029,3,SYN-SIS-000368,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,28.19,28.19,35.23,30.6256,-15.13,summer_atrophy,38.6586,35.2349,-3.4237,true,true,false
2062,368,5,89,19,8,2028-2029,3,SYN-SIS-000368,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,45.09,45.09,44.94,43.3615,16.9,school_year_growth,35.2349,44.9381,9.7032,true,true,false
2063,369,5,87,19,7,2028-2029,3,SYN-SIS-000369,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,48.25,48.25,49.12,48.2805,0.19,summer_atrophy,50.9765,49.1163,-1.8602,true,true,false
2064,369,5,87,19,8,2028-2029,3,SYN-SIS-000369,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,51.76,51.76,54.49,51.3252,3.51,school_year_growth,49.1163,54.4875,5.3712,true,true,false
2065,370,5,87,19,7,2028-2029,3,SYN-SIS-000370,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,25.71,25.71,28.57,27.5213,-6.32,summer_atrophy,32.3052,28.566,-3.7392,true,true,false
2066,370,5,87,19,8,2028-2029,3,SYN-SIS-000370,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,32.35,32.35,39.67,32.189,6.64,school_year_growth,28.566,39.6675,11.1015,true,true,false
2067,371,5,89,19,7,2028-2029,3,SYN-SIS-000371,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,50.7,50.7,49.84,51.3636,-5.57,summer_atrophy,51.6667,49.8408,-1.8259,true,true,false
2068,371,5,89,19,8,2028-2029,3,SYN-SIS-000371,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,53.98,53.98,51.37,53.6073,3.28,school_year_growth,49.8408,51.3671,1.5263,true,true,false
2069,372,3,83,17,7,2028-2029,3,SYN-SIS-000372,MATH-ALG2,Y03-SEC-009,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,48.86,48.86,48.0,49.1934,-4.61,summer_atrophy,49.5005,47.9951,-1.5054,true,true,false
2070,372,3,83,17,8,2028-2029,3,SYN-SIS-000372,MATH-ALG2,Y03-SEC-009,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,52.28,52.28,50.57,51.7452,3.42,school_year_growth,47.9951,50.5653,2.5702,true,true,false
2071,373,5,87,19,7,2028-2029,3,SYN-SIS-000373,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,54.74,54.74,52.73,54.8124,-2.95,summer_atrophy,55.5167,52.731,-2.7857,true,true,false
2072,373,5,87,19,8,2028-2029,3,SYN-SIS-000373,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,67.34,67.34,60.9,65.3491,12.6,school_year_growth,52.731,60.8958,8.1648,true,true,false
2073,374,2,79,16,7,2028-2029,3,SYN-SIS-000374,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,16.7,16.7,21.33,17.7044,-1.8,summer_atrophy,23.7496,21.3308,-2.4188,true,true,false
2074,374,2,79,16,8,2028-2029,3,SYN-SIS-000374,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,24.58,24.58,31.13,24.1902,7.88,school_year_growth,21.3308,31.1274,9.7966,true,true,false
2075,375,4,86,18,7,2028-2029,3,SYN-SIS-000375,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,86.4035,85.7473,-0.6562,true,false,true
2076,375,4,86,18,8,2028-2029,3,SYN-SIS-000375,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 08,8,end_of_year,school_year_growth,absent_no_update,absent_no_update,populated,0.0,,,,,school_year_growth,85.7473,86.1627,0.4154,true,false,true
2077,376,3,83,17,7,2028-2029,3,SYN-SIS-000376,MATH-ALG2,Y03-SEC-009,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,56.29,56.29,54.74,55.4867,4.69,summer_atrophy,56.2617,54.7371,-1.5246,true,true,false
2078,376,3,83,17,8,2028-2029,3,SYN-SIS-000376,MATH-ALG2,Y03-SEC-009,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,55.21,55.21,58.68,55.0506,-1.08,school_year_growth,54.7371,58.6753,3.9382,true,true,false
2079,377,3,82,17,7,2028-2029,3,SYN-SIS-000377,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,14.71,14.71,13.92,16.3025,-6.46,summer_atrophy,17.682,13.9164,-3.7656,true,true,false
2080,377,3,82,17,8,2028-2029,3,SYN-SIS-000377,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,19.92,19.92,21.07,20.0684,5.21,school_year_growth,13.9164,21.0683,7.1519,true,true,false
2081,378,2,79,16,7,2028-2029,3,SYN-SIS-000378,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,69.0,69.0,72.04,69.2624,-9.15,summer_atrophy,73.7415,72.044,-1.6975,true,true,false
2082,378,2,79,16,8,2028-2029,3,SYN-SIS-000378,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,77.33,77.33,78.39,75.5552,8.33,school_year_growth,72.044,78.3935,6.3495,true,true,false
2083,379,3,82,17,7,2028-2029,3,SYN-SIS-000379,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,47.69,47.69,46.94,48.0192,-4.37,summer_atrophy,48.3619,46.9388,-1.4231,true,true,false
2084,379,3,82,17,8,2028-2029,3,SYN-SIS-000379,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,53.33,53.33,52.55,52.4774,5.64,school_year_growth,46.9388,52.5533,5.6145,true,true,false
2085,380,3,81,17,7,2028-2029,3,SYN-SIS-000380,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,18.72,18.72,21.69,20.2083,-5.73,summer_atrophy,24.7259,21.6917,-3.0342,true,true,false
2086,380,3,81,17,8,2028-2029,3,SYN-SIS-000380,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,28.36,28.36,30.95,27.7139,9.64,school_year_growth,21.6917,30.9464,9.2547,true,true,false
2087,381,5,87,19,7,2028-2029,3,SYN-SIS-000381,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,38.89,38.89,40.96,39.876,-5.99,summer_atrophy,44.3257,40.9564,-3.3693,true,true,false
2088,381,5,87,19,8,2028-2029,3,SYN-SIS-000381,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,47.29,47.29,47.57,46.4403,8.4,school_year_growth,40.9564,47.5728,6.6164,true,true,false
2089,382,3,81,17,7,2028-2029,3,SYN-SIS-000382,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,37.59,37.59,38.66,38.259,-3.99,summer_atrophy,42.9057,38.658,-4.2477,true,true,false
2090,382,3,81,17,8,2028-2029,3,SYN-SIS-000382,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,47.31,47.31,45.2,46.1042,9.72,school_year_growth,38.658,45.2007,6.5427,true,true,false
2091,383,2,78,17,7,2028-2029,3,SYN-SIS-000383,MATH-GEOM,Y03-SEC-004,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,31.08,31.08,31.5,32.3002,-7.41,summer_atrophy,35.0131,31.5047,-3.5084,true,true,false
2092,383,2,78,17,8,2028-2029,3,SYN-SIS-000383,MATH-GEOM,Y03-SEC-004,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,37.11,37.11,37.91,36.701,6.03,school_year_growth,31.5047,37.9126,6.4079,true,true,false
2093,384,4,86,18,7,2028-2029,3,SYN-SIS-000384,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,59.41,59.41,68.31,60.8987,-14.82,summer_atrophy,69.909,68.3087,-1.6003,true,true,false
2094,384,4,86,18,8,2028-2029,3,SYN-SIS-000384,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,76.68,76.68,74.3,73.996,17.27,school_year_growth,68.3087,74.2952,5.9865,true,true,false
2095,385,7,94,20,7,2028-2029,3,SYN-SIS-000385,MATH-AP-CALC-AB,Y03-SEC-020,TCH-005,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,63.25,63.25,60.19,62.4631,2.55,summer_atrophy,60.1915,60.1915,0.0,true,true,false
2096,385,7,94,20,8,2028-2029,3,SYN-SIS-000385,MATH-AP-CALC-AB,Y03-SEC-020,TCH-005,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,61.03,61.03,65.41,61.0274,-2.22,school_year_growth,60.1915,65.4119,5.2204,true,true,false
2097,386,3,82,17,7,2028-2029,3,SYN-SIS-000386,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,32.17,32.17,36.31,33.3634,-7.24,summer_atrophy,38.3279,36.312,-2.0159,true,true,false
2098,386,3,82,17,8,2028-2029,3,SYN-SIS-000386,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,39.55,39.55,40.07,38.9027,7.38,school_year_growth,36.312,40.0706,3.7586,true,true,false
2099,387,5,87,19,7,2028-2029,3,SYN-SIS-000387,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,36.94,36.94,34.77,37.9534,-5.33,summer_atrophy,39.3151,34.768,-4.5471,true,true,false
2100,387,5,87,19,8,2028-2029,3,SYN-SIS-000387,MATH-AP-PRECALC,Y03-SEC-013,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,42.92,42.92,42.93,42.4948,5.98,school_year_growth,34.768,42.9295,8.1615,true,true,false
2101,388,3,82,17,7,2028-2029,3,SYN-SIS-000388,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,34.66,34.66,35.88,35.9276,-9.66,summer_atrophy,39.762,35.8794,-3.8826,true,true,false
2102,388,3,82,17,8,2028-2029,3,SYN-SIS-000388,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,44.05,44.05,46.97,43.0426,9.39,school_year_growth,35.8794,46.9747,11.0953,true,true,false
2103,389,3,82,17,7,2028-2029,3,SYN-SIS-000389,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,39.59,39.59,38.26,40.399,-6.39,summer_atrophy,42.4742,38.2631,-4.2111,true,true,false
2104,389,3,82,17,8,2028-2029,3,SYN-SIS-000389,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,48.25,48.25,44.7,47.1806,8.66,school_year_growth,38.2631,44.6956,6.4325,true,true,false
2105,390,4,85,18,7,2028-2029,3,SYN-SIS-000390,MATH-ALG2-H,Y03-SEC-011,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,82.1,82.1,84.44,81.8128,-5.81,summer_atrophy,84.9892,84.44,-0.5492,true,true,false
2106,390,4,85,18,8,2028-2029,3,SYN-SIS-000390,MATH-ALG2-H,Y03-SEC-011,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,92.57,92.57,92.56,90.1788,10.47,school_year_growth,84.44,92.5578,8.1178,true,true,false
2107,391,3,82,17,7,2028-2029,3,SYN-SIS-000391,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,47.6944,43.1517,-4.5427,true,false,true
2108,391,3,82,17,8,2028-2029,3,SYN-SIS-000391,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,46.66,46.66,46.99,47.04,-4.39,school_year_growth,43.1517,46.9927,3.841,true,true,false
2109,392,3,81,17,7,2028-2029,3,SYN-SIS-000392,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,26.37,26.37,28.94,27.4092,-4.74,summer_atrophy,31.549,28.9403,-2.6087,true,true,false
2110,392,3,81,17,8,2028-2029,3,SYN-SIS-000392,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,30.79,30.79,35.07,30.7166,4.42,school_year_growth,28.9403,35.0709,6.1306,true,true,false
2111,393,3,81,17,7,2028-2029,3,SYN-SIS-000393,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,16.18,16.18,16.92,17.9158,-7.62,summer_atrophy,22.0404,16.9214,-5.119,true,true,false
2112,393,3,81,17,8,2028-2029,3,SYN-SIS-000393,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,25.34,25.34,25.14,24.8602,9.16,school_year_growth,16.9214,25.1363,8.2149,true,true,false
2113,394,7,96,20,7,2028-2029,3,SYN-SIS-000394,MATH-AP-CALC-AB,Y03-SEC-022,TCH-005,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,24.58,24.58,27.42,26.6409,-12.1,summer_atrophy,30.8047,27.4191,-3.3856,true,true,false
2114,394,7,96,20,8,2028-2029,3,SYN-SIS-000394,MATH-AP-CALC-AB,Y03-SEC-022,TCH-005,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,44.04,44.04,31.95,41.9489,19.46,school_year_growth,27.4191,31.9462,4.5271,true,true,false
2115,395,3,81,17,7,2028-2029,3,SYN-SIS-000395,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,33.43,33.43,35.11,34.4799,-6.01,summer_atrophy,38.7279,35.1112,-3.6167,true,true,false
2116,395,3,81,17,8,2028-2029,3,SYN-SIS-000395,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,43.22,43.22,39.29,42.1504,9.79,school_year_growth,35.1112,39.2935,4.1823,true,true,false
2117,396,5,88,19,7,2028-2029,3,SYN-SIS-000396,MATH-AP-PRECALC,Y03-SEC-014,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,76.7613,74.4111,-2.3502,true,false,true
2118,396,5,88,19,8,2028-2029,3,SYN-SIS-000396,MATH-AP-PRECALC,Y03-SEC-014,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,75.65,75.65,80.8,74.5236,0.44,school_year_growth,74.4111,80.7952,6.3841,true,true,false
2119,397,2,80,17,7,2028-2029,3,SYN-SIS-000397,MATH-GEOM,Y03-SEC-006,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,24.33,24.33,25.19,24.9721,-0.2,summer_atrophy,26.7313,25.1874,-1.5439,true,true,false
2120,397,2,80,17,8,2028-2029,3,SYN-SIS-000397,MATH-GEOM,Y03-SEC-006,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,30.37,30.37,31.83,30.0403,6.04,school_year_growth,25.1874,31.8263,6.6389,true,true,false
2121,398,2,77,17,7,2028-2029,3,SYN-SIS-000398,MATH-GEOM,Y03-SEC-003,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,45.87,45.87,44.35,45.6797,1.41,summer_atrophy,46.8735,44.3491,-2.5244,true,true,false
2122,398,2,77,17,8,2028-2029,3,SYN-SIS-000398,MATH-GEOM,Y03-SEC-003,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,52.13,52.13,49.71,51.1551,6.26,school_year_growth,44.3491,49.712,5.3629,true,true,false
2123,399,4,86,18,7,2028-2029,3,SYN-SIS-000399,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,78.45,78.45,84.07,76.5278,5.33,summer_atrophy,84.3181,84.0701,-0.248,true,true,false
2124,399,4,86,18,8,2028-2029,3,SYN-SIS-000399,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,84.45,84.45,85.23,82.6217,6.0,school_year_growth,84.0701,85.2344,1.1643,true,true,false
2125,400,3,82,17,7,2028-2029,3,SYN-SIS-000400,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,23.37,23.37,26.06,24.8225,-7.68,summer_atrophy,29.7836,26.0602,-3.7234,true,true,false
2126,400,3,82,17,8,2028-2029,3,SYN-SIS-000400,MATH-ALG2,Y03-SEC-008,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,32.26,32.26,34.27,31.6173,8.89,school_year_growth,26.0602,34.2712,8.211,true,true,false
2127,401,5,88,19,7,2028-2029,3,SYN-SIS-000401,MATH-AP-PRECALC,Y03-SEC-014,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,46.22,46.22,46.37,46.9732,-5.47,summer_atrophy,50.2044,46.3748,-3.8296,true,true,false
2128,401,5,88,19,8,2028-2029,3,SYN-SIS-000401,MATH-AP-PRECALC,Y03-SEC-014,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,43.55,43.55,48.55,44.2167,-2.67,school_year_growth,46.3748,48.555,2.1802,true,true,false
2129,402,4,86,18,7,2028-2029,3,SYN-SIS-000402,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,64.24,64.24,64.38,63.1734,3.23,summer_atrophy,67.012,64.3813,-2.6307,true,true,false
2130,402,4,86,18,8,2028-2029,3,SYN-SIS-000402,MATH-ALG2-H,Y03-SEC-012,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,73.92,73.92,71.37,71.9643,9.68,school_year_growth,64.3813,71.3656,6.9843,true,true,false
2131,403,5,89,19,7,2028-2029,3,SYN-SIS-000403,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,75.57,75.57,73.85,74.6344,1.46,summer_atrophy,74.3609,73.8483,-0.5126,true,true,false
2132,403,5,89,19,8,2028-2029,3,SYN-SIS-000403,MATH-AP-PRECALC,Y03-SEC-015,TCH-004,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,79.23,79.23,81.81,78.0086,3.66,school_year_growth,73.8483,81.8072,7.9589,true,true,false
2133,404,4,85,18,7,2028-2029,3,SYN-SIS-000404,MATH-ALG2-H,Y03-SEC-011,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,68.9384,67.8825,-1.0559,true,false,true
2134,404,4,85,18,8,2028-2029,3,SYN-SIS-000404,MATH-ALG2-H,Y03-SEC-011,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,76.63,76.63,74.92,74.9179,7.75,school_year_growth,67.8825,74.9218,7.0393,true,true,false
2135,405,2,80,17,7,2028-2029,3,SYN-SIS-000405,MATH-GEOM,Y03-SEC-006,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,17.32,17.32,18.76,18.3787,1.74,summer_atrophy,24.0113,18.7631,-5.2482,true,true,false
2136,405,2,80,17,8,2028-2029,3,SYN-SIS-000405,MATH-GEOM,Y03-SEC-006,TCH-002,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,25.48,25.48,25.17,25.0395,8.16,school_year_growth,18.7631,25.1709,6.4078,true,true,false
2137,406,4,84,18,7,2028-2029,3,SYN-SIS-000406,MATH-ALG2-H,Y03-SEC-010,TCH-003,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,84.9,84.9,83.5,82.485,7.22,summer_atrophy,83.5517,83.5009,-0.0508,true,true,false
2138,406,4,84,18,8,2028-2029,3,SYN-SIS-000406,MATH-ALG2-H,Y03-SEC-010,TCH-003,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,80.48,80.48,85.72,80.0535,-4.42,school_year_growth,83.5009,85.715,2.2141,true,true,false
2139,407,2,79,16,7,2028-2029,3,SYN-SIS-000407,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,45.55,45.55,41.93,45.1242,2.9,summer_atrophy,45.6165,41.9348,-3.6817,true,true,false
2140,407,2,79,16,8,2028-2029,3,SYN-SIS-000407,MATH-GEOM,Y03-SEC-005,TCH-001,Assignment 08,8,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,55.26,55.26,49.29,53.7261,9.71,school_year_growth,41.9348,49.289,7.3542,true,true,false
2141,408,3,81,17,7,2028-2029,3,SYN-SIS-000408,MATH-ALG2,Y03-SEC-007,TCH-002,Assignment 07,7,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,43.98,43.98,39.77,43.5926,3.44,summer_atrophy,41.5079,39.7666,-1.7413,true,true,false
